index, elapse_time, susp_fl, susp_fr, susp_rl, susp_rr, acc_x, acc_y, acc_z, rot_x, rot_y, rot_z
187,28911,38.21893,46.59847,52.16781,27.43792,-0.42497,2.30083,9.74919,0.00879,0.07834,0.03331
188,29066,38.21893,46.59847,52.16781,27.43792,-0.45849,2.27689,9.7432,0.00946,0.07901,0.03211
189,29218,38.21893,46.59847,52.16781,27.48901,-0.41899,2.30681,9.75517,0.00866,0.0806,0.03277
190,29370,38.21893,46.59847,52.16781,27.43792,-0.50996,2.25294,9.71208,0.00946,0.07594,0.03397
191,29522,38.21893,46.54738,52.16781,27.43792,-0.39504,2.3116,9.80426,0.00853,0.07861,0.03384
192,29674,38.21893,46.59847,52.16781,27.48901,-0.44652,2.29484,9.66779,0.00799,0.07781,0.03131
193,29839,38.21893,46.59847,52.16781,27.43792,-0.41659,2.29484,9.80306,0.00826,0.07981,0.03251
194,29989,38.21893,46.59847,52.16781,27.43792,-0.43335,2.2721,9.72046,0.00959,0.07874,0.03344
195,30140,38.21893,46.59847,52.16781,27.43792,-0.40701,2.30202,9.76954,0.00879,0.07874,0.03317
196,30291,38.21893,46.59847,52.16781,27.48901,-0.4549,2.26491,9.75517,0.00866,0.07781,0.03264
197,30445,38.21893,46.59847,52.16781,27.43792,-0.40223,2.27329,9.74081,0.01053,0.07807,0.03437
198,30596,38.21893,46.59847,52.16781,27.43792,-0.43574,2.29245,9.76954,0.00786,0.07847,0.03171
199,30747,38.21893,46.54738,52.16781,27.43792,-0.41539,2.3116,9.69891,0.00773,0.07981,0.03291
200,30898,38.21893,46.59847,52.16781,27.48901,-0.42617,2.25414,9.72166,0.00719,0.07967,0.03224
201,31049,38.21893,46.59847,52.16781,27.43792,-0.47645,2.28048,9.68574,0.00853,0.07901,0.03158
202,31203,38.21893,46.59847,52.16781,27.48901,-0.43934,2.28646,9.69771,0.01026,0.07994,0.03424
203,31354,38.21893,46.59847,52.16781,27.43792,-0.41899,2.26851,9.827,0.00733,0.08087,0.03384
204,31505,38.21893,46.59847,52.16781,27.43792,-0.44412,2.28886,9.76595,0.00893,0.07847,0.03331
